number,identifier,category,rationale
562,E&M,90 day global - Endocrine System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
563,E&M,0-10 global period - Surgery/Nervous System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
564,E&M,90 global period - Surgery/Nervous System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
565,E&M,0-10 global period - Surgery/Auditory System,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
566,E&M,90 global period - Surgery/Auditory System,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
567,E&M,0-10 global period - Medicine Services and Procedures,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25."
568,E&M,90 day global - Medicine Services and Procedures,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate."
569,MCD:ID,Consultations -,"99242– 99245 and 99252-99255), instead the appropriate evaluation and management code for office, other outpatient services, hospital or nursing facility should be billed for the services rendered. As Idaho Medicaid does not use consultation codes, more than one physician will be permitted to bill an initial visit."
570,MCD:ID,NDC Requirements,"HCPCS drug. This requirement applies to drugs with HCPCS codes, whether submitted electronically, on a paper CMS-1500 claim form, or as a Medicare cross-over claim."
571,MCD:ID,VFC Vaccines,"The Vaccine for Children (VFC) program offers a free-vaccine program for children who have not reached their 19th birthday. When a free vaccine(s) is administered, the CPT® code for the vaccine should be billed with modifier SL at a zero-dollar amount ($0.00)."
572,ORTHO,NA,Do not use either 29877 or G0289 to report chondroplasty with meniscectomy 29880 or 29881 because the chondroplasty is inclusive to their definitions.
573,ORTHO,Medicare NCCI edit,"CPT codes for closed, percutaneous, or open treatment of fractures or dislocations include the application of casts, splints, or strapping. CPT codes for casting/splinting/strapping should not be reported separately per Medicare NCCI edits."
574,MEDSV,NA,"UnitedHealthcare requires one of the three therapy modifiers − GN, GO, or GP on specific sets of CPT/HCPCS codes in order to identify when each outpatient therapy (OPT) service is furnished under a Speechlanguage pathology (SLP), occupational therapy (OT) and physical therapy (PT) services plan of care."
575,MEDSV,NA,"“Always Therapy” HCPCS codes require a GN, GO, or GP modifier, as appropriate."
576,MEDSV,NA,Codes Requiring the “GN” Therapy Modifier are present.
577,MEDSV,NA,Codes Requiring the “GO” Therapy Modifier are present.
578,MEDSV,NA,Codes Requiring the “GP” Therapy Modifier are present.
579,E&M,Modifier 24,Modifier 24 should only be used on E/M codes. Review modifier.
580,UNVSL,Adult BMI codes,BMI adult codes are for use for persons 20 years of age or older. The CDC classifies BMI differently depending on whether the individual is an adult (age 21 or older) or a child (age 2 to 20). Use pediatric BMI codes for persons 2-19 years of age.
581,VAX,90732 - Age Restrictions,"90732 reports a pneumococcal polysaccharide vaccine, 23-valent (PPSV23), adult or immunosuppressed patient dosage, for subcutaneous or intramuscular administration to patients 2 years of age or older. Review CPT versus age of patient."
582,MEDSV,90732 - Age Restrictions,"Per NCCI guidance, placement of peripheral vascular access devices is integral to IV infusion and injections and not separately reportable (e.g., 36000—introduction of needle/catheter into vein), 36410—venipuncture). Review chart documentation to determine if a modifier is appropriate."
583,PODIA,Toe/Finger modifier required,Code requires appropriate toe or finger modifier.
584,LABS,Urinalysis Coding,"If a Urinalysis with Microscopic exam is performed, the 81001 CPT code will be used and the 81003 CPT for the normal Urinalysis will not be billed."
585,MCD:LA,"Effective with date of service March 1, 2008, physicians, physician groups, APRNs, and physician assistant providers are required to submit NDC information and the corresponding HCPCS code for physician-administered drugs on the 837P (Professional transaction) and the CMS-1500 claim form.",Missing NDC info. Medicaid/Medicaid CMOs require this info for all J-codes.
586,UNVSL,NA,"Add authorization to Triwest/VACCN/OPTUM VA claims prior to billing. Claims reject for missing authorization number. If auth is not entered in Azalea, go to https://www.triwest.com/en/provider/claims-guidelines/ and use the referral search tool."
587,INTEG,NA,17004 should not be reported with 17000 or 17003. CPT 17004 is for 15 or more lesions and should be billed with 1 unit.
588,UNVSL,Humana requires a referring provider,Humana may require the ordering/referring provider information. Add referring provider for Humana.
589,LABS,80050,"80053, 85025, 85004, 85027, 85007, 85009, 84443 is included in 80050 and cannot be billed separately."
590,LABS,"87502,87631 -",87631 and 87502 cannot be reported together for the same specimen. Review documentation to determine is a modifier is appropriate due to different specimens.
591,MEDSV,"87502,87631 -",94060 includes the administration of a bronchodilator. It is a misuse of CPT code 94640 to report 94640 for the administration of the bronchodilator included in CPT code 94060. The bronchodilator medication may be reported separately.
592,MEDSV,"87502,87631 -","CPT code 94640 (Pressurized or non-pressurized inhalation treatment for acute airway obstruction...) and CPT code 94664 (Demonstration and/or evaluation of patient utilization of an aerosol generator...) generally should not be reported for the same patient encounter. The demonstration and/or evaluation described by CPT code 94664 is included in CPT code 94640 if it uses the same device (e.g., aerosol generator) that is used in the performance of CPT code 94640. If performed at separate patient encounters on the same date of service, the two services may be reported separately."
594,MEDSV,"87502,87631 -",Inhalation drugs may be separately reimbursable. Add drug HCPCS code for drug administered.
595,MEDSV,NA,96372 may bundle into the administration of the vaccine. Append 59 modifier to 96372 if an injection separate from the vaccine administration was given.
596,ICD:CM,H60-H95 - Chapter 8: Diseases of the ear and mastoid process,"H60.393 Other infective otitis externa, bilateral should not be billed with Other infective otitis externa, right ear or left ear. Review coding."
597,ICD:CM,H00-H59 - Chapter 7: Diseases of the eye and adnexa,"A bilateral code should be used instead of left and right eye. See H10.023 Other mucopurulent conjunctivitis, bilateral."
598,ICD:CM,H60-H95 - Chapter 8: Diseases of the ear and mastoid process,"Review encounter for H66.93 (Otitis media, unspecified, bilateral) instead of reporting left and right individually."
599,ICD:CM,H60-H95 - Chapter 8: Diseases of the ear and mastoid process,"Review encounter for a more specific diagnosis code (H66.90 Otitis media, unspecified, unspecified ear). Task office for a dx that specifies which ear (RT or LT). See H66.91 (RT), H66.92 (LT), H66.93 (Bilateral)."
600,VAX,NA,Medicare Part B does not reimburse Shingrix vaccines - 90750
601,E&M,NA,"99408, 99409 is not covered by Medicare as of 10/01/2020. See G2011, G0396, or G0397 for Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention."
602,ICD:CM,M00-M99 - Chapter 13: Diseases of the musculoskeletal system and connective tissue,Spondylolysis (M43.0) with congenital spondylolysis (Q76.2) and/or spondylolisthesis (M43.1-M43.19) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
603,ICD:CM,"O00-O9A - Chapter 15: Pregnancy, childbirth, and the puerperium","O00-O9A - Chapter 15: Pregnancy, childbirth, and the puerperium: Codes from this chapter are for use only on maternal records, never on newborn records."
604,E&M,(99291-99292) Critical Care Services,"99292 is an add-on code that must be billed in addition to 99291. Code first 99291(Critical care, evaluation and management of the critically ill or critically injured patient, first 30-74 minutes) then 99292 for each additional 30 minutes."
605,VAX,NA,"A new ICD-10 code was released effective 1/1/21. Z11.52 - Encounter for screening for COVID-19. Review updated COVID-19 ICD-10-CM reporting guidelines, if applicable."
606,VAX,NA,"A new ICD-10 code was released effective 1/1/21. Z20.822 - Contact with and (suspected) exposure to COVID-19. Review updated COVID-19 ICD-10-CM reporting guidelines, if applicable."
607,VAX,NA,"Per ICD-10-CM guidelines for J12.82 (pneumonia due to coronavirus disease 2019), code first COVID-19 (U07.1) Review updated COVID-19 ICD-10-CM reporting guidelines, if applicable."
608,VAX,NA,"A new ICD-10 code was released effective 1/1/21. J12.82 - Pneumonia due to coronavirus disease 2019. Review updated COVID-19 ICD-10-CM reporting guidelines, if applicable."
609,VAX,NA,"M35.81 guidelines state to code first U07.1 COVID-19. If an individual with a history of COVID-19 develops MIS, assign codes M35.81, Multisystem inflammatory syndrome, andU09.9, Post COVID-19 condition, unspecified."
610,VAX,NA,"Review payer guidelines to determine if cost sharing modifiers (CS, CR) may be required for COVID-19 purposes."
612,VAX,NA,Moderna Covid-19 100mcg/0.5mL vaccine is no longer authorized for use in the United States
613,VAX,NA,"Code the Pfizer-BioNTech Covid-19 Vaccine Administration code (0001A is for the first dose, 0002A is for the second dose, 0003A is for the third dose, 0004A is for a Booster dose). Approved for individuals 12 years of age and older. Vaccine no longer approved for use in the United States."
614,VAX,NA,"AstraZeneca Covid-19 Vaccine no longer approved in the United States. To report severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2][coronavirus disease {COVID-19}] vaccine product immunization, see 91318, 91319, 91320, 91321, 91322"
615,VAX,NA,"Vaccines are no longer being purchased by the government. Verify if office purchased vaccine. Per CMS when COVID-19 vaccine doses are provided by the government without charge, only bill for the vaccine administration. Don’t include the vaccine codes on the claim when the vaccines are free. Review individual payer guidelines for complete guidance."
617,RHC,NA,Medicare will reimburse COVID-19 vaccine and administration based on reasonable cost through the cost report process. Mark the associated codes to hide on the claim and zero out the fees.
618,FQHC,NA,Report vaccine and administration on claim informationally.
619,UNVSL,Prolonged Office/Other Outpt E/M for Medicare and most Advantage plans,"G2212 should be reported instead of 99417 for Medicare and most Medicare Advantage plans in addition to 99205, 99215 or 99483 for each additional 15 minutes. Do NOT report G2212 for less than 15 minutes."
620,VAX,NA,"Do not report 90460, 90461 in conjunction with 913XX (Covid vaccine) unless both a severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2][coronavirus disease {COVID-19}] vaccine/toxoid product and at least one vaccine/toxoid product from 90476-90749 are administered at the same encounter"
621,AUDIO,Medicare MUE for 69210,Medicare only allows 1 unit per day for 69210
622,VAX,NA,"During the COVID-19 pandemic, a screening code is generally not appropriate. Do not assign code Z11.52, Encounter for screening for COVID-19. For encounters for COVID-19 testing, including preoperative testing, code as exposure to COVID-19 (Z20.822) (guideline I.C.1.g.1.e)."
623,ICD:CM,Z20-Z20.9 Chapter 21: Factors Influencing Health Status and Contact With Health Services,"Presence of left artificial knee joint (Z96.652) and Presence of right artificial knee joint (Z96.651) should not be reported together. Use the bilateral code: Presence of artificial knee joint, bilateral (Z96.653)."
624,ICD:CM,Bilateral code,"Presence of right artificial hip joint (Z96.641) and Presence of left artificial hip joint (Z96.642) should not be reported together. Use the bilateral code: Presence of artificial hip joint, bilateral (Z96.643)."
625,RADIO,78730 - Urinary bladder residual study (List separately in addition to code for primary procedure),CPT 78730 (Urinary bladder residual study) is an add on code. 78740 (Ureteral reflux study (radiopharmaceutical voiding cystogram)) must be billed in addition to 78730. See 51798 if 78740 is not appropriate.
626,NEURO,64643 Add-On Code,"64643 is missing the primary procedure. Code first (64642, 64644) for each extremity."
627,NEURO,64645 Add-On Code,64645 is missing the primary procedure. Code first 64644 for each extremity.
628,ICD:CM,R51 Excludes 2,"Headache NOS (R51.9) should not be reported with G50.0 (trigeminal neuralgia), G50.1 (atypical facial pain), G43-G44 (migraine and other headache syndromes) except when the two conditions are unrelated per the ICD-10-CM Excludes 2 guideline."
629,ICD:CM,M12.55 Excludes 1,"Traumatic arthropathy, hip (M12.55) and current injury-see Alphabetic Index, post-traumatic osteoarthritis of first carpometacarpal joint (M18.2-M18.3), post-traumatic osteoarthritis of hip (M16.4-M16.5), post-traumatic osteoarthritis of knee (M17.2-M17.3), post-traumatic osteoarthritis NOS (M19.1-), and post-traumatic osteoarthritis of other single joints (M19.1-) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 guideline."
630,VAX,CS/CR Modifier,Append modifier CS or CR (when appropriate) for specified COVID-19 testing-related services that result in an order for or administration of a COVID-19 test on applicable claim lines to identify the service as subject to the cost-sharing wavier for COVID-19 testing-related services.
632,ORTHO,NA,Cast/Splint application is inclusive to fracture/dislocation treatment. Review coding for cast/splint. A modifier may not be appropriate unless casting/splinting is unrelated to the fracture/dislocation treatment code.
633,VAX,NA,"Code the Janssen Covid-19 Vaccine Administration code (0031A for the first vaccine, 0034A for the Booster). Vaccine is no longer authorized for use in the United States."
634,ICD:CM,H60-H95 - Chapter 8: Diseases of the ear and mastoid process,"Otitis externa in other diseases classified elsewhere, unspecified ear (H62.40) should be updated to report the correct laterality (H62.41-right, H62.42-left, or H62.43-bilateral)."
635,MCD:GA,NA,"Effective May 1, 2021, the integration of Peach State Health Plan and WellCare is complete. Do not file claims with a date of service on or after 05/01/2021 to Wellcare (14163). All Wellcare claims should be billed to Peach State Health Plan (Medical - 68069 or Behavioral Health - 68068)."
636,MCD:AL,NA,Technical components for EKGs and radiology are billable and reimbursable outside of the encounter rate utilizing the non-IRHC National Provider Identifier (NPI) and on a separate claim.
637,ICD:CM,Z00.8,"Encounter for other general examination (Z00.8) can only be reported as the first listed diagnosis code. Use with caution, some payers may require a more specified diagnosis for the encounter. If this is the only diagnosis listed, ask the provider for a more specific diagnosis code."
638,ICD:CM,E66 Overweight and obesity,Review ordering of ICD-10 codes. Some payers will not reimburse claims with overweight/obesity as the first listed code.
639,MCD:ID,NA,80050 is not reimbursed by payer. Unbundle labs and bill individually.
640,E&M,(99354-99355) Prolonged Services,"Prolonged services (99354-99355) is missing the primary procedure code (99202-99205, 99212-99215)."
641,MCD:AR,NA,"All claims submitted by RHC providers for EPSDT and ARKids First-B medical screens performed by RHC personnel are to be billed with appropriate modifier(s) on a 1500 claim form with the RHC provider ID. Modifier EP should be assigned along with: Modifier U1 for New pt, Modifier U2 for established pt, Modifier H9 for Foster Care pt."
642,MCD:AR,NA,"For EPSDT Periodic Complete Medical Screen, use modifier EP. For ARKids Complete Medical Screen, submit claims without a modifier."
643,MCD:AR,NA,"Use U1 or U2 in the second modifier space for EPSDT Periodic Complete Medical Screen. U1 is for new patients, U2 is for established patients."
644,MCD:AR,NA,A non-payable diagnosis code is present. Review coding for Arkansas Medicaid.
645,MCD:AR,NA,A non-payable diagnosis code for beneficiaries under 21 is present. Review coding for Arkansas Medicaid.
646,RADIO,Professional Component,Review global billing of a radiology diagnostic procedure in a POS other than the physicians office. Professional component modifier (26) may be required.
647,MCD:WI,NA,"Providers should also indicate modifier UA with the appropriate procedure code if a comprehensive screen results in a referral for further evaluation and treatment. If a comprehensive Health Check screen does not result in a referral for further evaluation or treatment, Providers should only indicate the appropriate procedure code, not the modifier."
648,MCD:WI,NA,"Providers are required to use modifier “TH” (Obstetrical treatment/services, prenatal or postpartum) with procedure codes 99204 or 99213 only when those codes are used to indicate the first three ante partum care visits."
649,MCD:WI,NA,"UnitedHealthcare Community Plan follows ACOG coding guidelines and considers an E/M service on the same date of service, by the Same Individual Physician or Other Qualified Health Care Professional to be separately reimbursed in addition to an OB ultrasound procedure (CPT codes 76801-76817 and 76820-76828) only if the E/M service is a separate and distinct service and is submitted with the appropriate modifier."
650,MCD:WI,NA,Medicaid requires POS 02 or 10 for 99441-99443
651,VFC:ID,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $20.13 per dose. Serum codes should be reported as $0.00 if present.
652,VFC:GA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.93 per dose. Serum codes should be reported as $0.00 if present.
653,VFC:CA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $19.79 per dose. Serum codes should be reported as $0.00 if present.
654,VFC:CA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $19.54 per dose. Serum codes should be reported as $0.00 if present.
655,VFC:CA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.33 per dose. Serum codes should be reported as $0.00 if present.
656,VFC:FL,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $24.01 per dose. Serum codes should be reported as $0.00 if present.
657,VFC:IA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $19.68 per dose. Serum codes should be reported as $0.00 if present.
658,VFC:IL,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $23.87 per dose. Serum codes should be reported as $0.00 if present.
659,VFC:LA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.30 per dose. Serum codes should be reported as $0.00 if present.
660,VFC:MD,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $23.28 per dose. Serum codes should be reported as $0.00 if present.
661,VFC:MO,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.53 per dose. Serum codes should be reported as $0.00 if present.
662,VFC:MS,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $19.79 per dose. Serum codes should be reported as $0.00 if present.
663,VFC:NC,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $20.45 per dose. Serum codes should be reported as $0.00 if present.
664,VFC:NJ,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $24.23 per dose. Serum codes should be reported as $0.00 if present.
665,VFC:CO,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $19.58 per dose. Serum codes should be reported as $0.00 if present.
666,VFC:CO,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $21.96 per dose. Serum codes should be reported as $0.00 if present.
667,VFC:SC,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $20.16 per dose. Serum codes should be reported as $0.00 if present.
668,VFC:CT,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $20.00 per dose. Serum codes should be reported as $0.00 if present.
669,VFC:CT,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $22.06 per dose. Serum codes should be reported as $0.00 if present.
670,VFC:WA,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $23.44 per dose. Serum codes should be reported as $0.00 if present.
671,VFC:WI,NA,The maximum fees that providers may charge for the administration of pediatric vaccines to uninsured children under the Vaccines for Children (VFC) program is $20.83 per dose. Serum codes should be reported as $0.00 if present.
672,MCD:ID,VFC Vaccines,Pediatric vaccines are billed per vaccine dose. Do not bill vaccine components.
673,PREVENT,NA,Review documentation to determine if modifier 25 is appropriate to add to the problem-oriented E/M code (992**) when billed with a preventive visit or Medicare Wellness.
674,MCD:GA,NA,"Code the health risk assessment (96160) with the EP, 59 modifiers when reporting the health risk assessment(s) and vaccine administration codes for the same visit."
675,UNVSL,"93000,93005,93010 bundles with 69210","Code 93000, 93005, 93010 are a component of code 69210 but a modifier is allowed on 93000, 93005, 93010"
676,ICD:CM,R42 has an excludes 1 note with H81-H81.93,R42 should not be reported with H81-H81.93 per coding guidelines
677,ICD:CM,G25.3 has an excludes 1 note with G51.4 and G40-G40.B19,G25.3 should not be reported with G51.4 or G40-G40.B19 per coding guidelines
678,ICD:CM,R56.1 has an excludes 1 note with G40-G40.B19,R56.1 should not be reported with G40-G40.B19
679,ICD:CM,B95-B97.89 should NOT be billed as primary dx code per coding guidelines.,B95-B97.89 should NOT be billed as primary dx code per coding guidelines. Code related disorder first.
680,ICD:CM,M00-M99 - Chapter 13: Diseases of the musculoskeletal system and connective tissue,"M16.11 (Unilateral primary osteoarthritis, right hip) and M16.12 (Unilateral primary osteoarthritis, left hip) should be billed as M16.0 for Bilateral Primary Osteoarthritis of the hip"
681,ICD:CM,R00-R99 - Chapter 18,"R22.0-R22.9 should NOT be reported with R59-R60.9, E65, R90-R93.9 or M25.4-M25.48"
682,ICD:CM,G58 Excludes 1,"M79.2 (Neuralgia NOS), M54.1* (Radiculitis NOS) and O26.82* (Peripheral neuritis in pregnancy) should not be billed with G58 (Other mononeuropathies)"
683,ICD:CM,R00-R99 - Chapter 18,R65.* (SIRS/Severe sepsis) cannot be billed as primary dx. Source of infection should be coded first.
684,ICD:CM,Manifestation Codes,"A manifestation code is not allowed to be reported as a principal or first-listed diagnosis because it describes a manifestation of some other underlying disease, not the definitive disease. Review ordering of ICD-10 codes."
685,ICD:CM,Age - 15-123 years,The diagnosis is inconsistent with the patients age. One or more ICD-10 codes are only appropriate for ages 15-123 years.
686,ICD:CM,Age - Newborn 0 years,The diagnosis is inconsistent with the patients age. One or more ICD-10 codes are only appropriate for newborn patients (28 days and under).
687,ICD:CM,Age - Pediatric 0-17 years (Physician),The diagnosis is inconsistent with the patients age. One or more ICD-10 codes are only appropriate for pediatric patients (0-17 years old).
688,VAX,CS Modifier inappropriate for Preventative visits,CS Modifier inappropriate for Preventative visits
689,UNVSL,Finger/Toe Modifiers,"Review procedures and apply appropriate finger or toe modifiers, if applicable."
690,VAX,NA,Review CPT versus age of the patient. 90672 is for patients aged 2 through 49 years.
691,VAX,NA,"Review CPT versus age of the patient. Influenza vaccine (90674, 90756) is for patients aged 4 years and older."
692,VAX,NA,Review CPT versus age of the patient. 90682 is for patients aged 18 years and older.
693,VAX,NA,Review CPT versus age of the patient. Influenza vaccine is for patients aged 6 through 35 months.
694,VAX,NA,Review CPT versus age of the patient. 90688 is for patients aged 3 years and older.
695,ICD:CM,Age - Pregnancy,Review the ICD-10 coding versus the age of the patient. Supervision of young primigravida and multigravida is the supervision of pregnancy for a female less than 16 years old at expected date of delivery.
696,ICD:CM,Z Code as Primary Diagnosis,Review ordering of ICD-10 code(s). A Z code is present that may only be billed as the primary diagnosis.
697,ICD:CM,G56.1 - Other lesions of median nerve,"For bilateral other lesions of median nerve, use G56.13 rather than right and left diagnosis codes."
698,VAX,G56.1 - Other lesions of median nerve,"Caution: Review ICD-10 coding. If the encounter is due to COVID-19, do not code B97.21 (SARS-associated coronavirus as the cause of diseases classified elsewhere). Use U07.1 (COVID-19)."
699,RHC,NA,"Add both CG, CS modifiers to waive cost sharing for preventive services performed via telehealth."
700,VAX,NA,"HCPCS codes (G2023, G2024) for COVID-19 specimen collection are for use by independent laboratories, not medical practices."
702,RHC,Technical/Professional - Independent RHC,Technical components are billed to Medicare Part B on a 1500 claim form with modifier TC and place of service 72. The professional component should be billed with a qualifying visit with modifier 26.
703,RHC,Technical/Professional - Independent RHC,Technical components are billed to Medicare Part B on a 1500 claim form with modifier TC. The professional component should be billed with a qualifying visit with modifier 26.
704,UNVSL,Physician billing - Professional/Technical Component,Review physician billing of a global code outside of an office setting. The professional component may need to be billed with modifier 26.
705,ICD:CM,Z34 Encounter for supervision of normal pregnancy,"Encounter for supervision of normal pregnancy (Z34) should not be reported with any complication of pregnancy (O00-O9A), encounter for pregnancy test (Z32.0-), or encounter for supervision of high risk pregnancy (O09.-)."
706,ICD:CM,Z3A Weeks of Gestation,"Weeks of gestation (Z3A): Code first complications of pregnancy, childbirth and the puerperium (O09-O9A). Z3A is not a valid primary dx."
707,ICD:CM,Age - Pregnancy,Review the ICD-10 coding versus the age of the patient. Supervision of elderly primigravida and multigravida is the supervision of pregnancy for a female 35 years and older at expected date of delivery.
708,ICD:CM,Age - Pregnancy,Review the ICD-10 coding versus the age of the patient. Supervision of pregnancy for a female 35 years and older at expected date of delivery is considered high risk. Z34 may not be appropriate.
709,ICD:CM,Age - Pregnancy,Review the ICD-10 coding versus the age of the patient. Supervision of pregnancy for a female less than 16 years old at expected date of delivery is considered high risk. Z34 may not be appropriate.
710,OBGYN,Global visits,"Review payer guidelines for antepartum care. Depending on the total number of patient encounters, most payers require global obstetric codes to be reported. For one to three antepartum care visits, see the appropriate E/M code. 59425 includes four to six visits. 59426 covers seven or more visits."
711,OBGYN,NA,Add reporting codes for prenatal visits for tracking purposes. 0500F: Initial prenatal care visit or 0502F: Subsequent prenatal care visit.
712,OBGYN,Complication visits,"Services unrelated to pregnancy but performed by the provider rendering global maternity care should be documented and reported separately with the appropriate inpatient or outpatient Evaluation and Management code, using the condition unrelated to pregnancy as the primary diagnosis code. Z34 should not be pointed to the E&M code, but may be pointed to pregnancy related services performed during the visit. If other services are not reported, remove Z34 from the claim."
713,OBGYN,0500F,"0500F: Initial prenatal care visit (report at first prenatal encounter with health care professional providing obstetrical care. Report also date of visit and, in a separate field, the date of the last menstrual period [LMP])"
714,OBGYN,0500F,Add visit information to the RCM OBGYN Prenatal Visit Tracking spreadsheet.
715,OBGYN,0501F,"0501F: Report also: date of visit and, in a separate field, the date of the last menstrual period [LMP]"
716,OBGYN,Prenatal reporting,"If reporting 0501F Prenatal flow sheet, it is not necessary to report 0500F Initial prenatal care visit."
717,OBGYN,0502F,"Subsequent prenatal care visit (0502F) Excludes: patients who are seen for a condition unrelated to pregnancy or prenatal care (eg, an upper respiratory infection, patients seen for consultation only, not for continuing care)"
718,OBGYN,Medical Visits,"If the patient has a complication or requires additional workup or care, coders should assign the appropriate E/M code (i.e., 99212–99215) to reflect the separately identifiable service. The diagnosis should also reflect the separately identifiable service."
719,OBGYN,0503F,"Postpartum care visit (0503F) Excludes: patients who are seen for a condition unrelated to routine uncomplicated postpartum care. The visit should be reported separately with the appropriate inpatient or outpatient Evaluation and Management code, using the condition unrelated to routine postpartum care as the primary diagnosis code."
720,OBGYN,NA,Review United Healthcare payer guidelines. ICD-10-CM diagnosis codes listed identify complications or high risk conditions.
721,RADIO,Age Restriction,73592 should only be used for patients under 1 year of age. Review for correct CPT.
722,OBGYN,NA,Review Anthem BCBS Payer Guidelines. Additional office visits are eligible for separate reimbursement for any unrelated condition and when the E/M is reported with a diagnosis code not related to a normal pregnancy diagnosis.
723,OBGYN,NA,Review Anthem BCBS Payer Guidelines. The Health Plan defines normal pregnancy by one or more ICD-10 codes on the claim. Review guidelines if billing E/M codes outside of global codes. Remove normal supervision codes when billing E/M visits for any unrelated condition and when the E/M is reported with a diagnosis code not related to a normal pregnancy diagnosis.
724,OBGYN,NA,Review Anthem BCBS Payer Guidelines. Medical problems complicating labor and delivery management may require additional resources and should be identified by utilizing the appropriate CPT codes in the Medicine and Evaluation and Management Services section of the CPT manual in addition to codes for maternity care.
725,OBGYN,NA,"Most Anthem policies consider all E/M visits with a normal pregnancy, supervision of pregnancy and/or normal delivery dx assigned, to be included in the global obstetric services and not separately payable. Make sure none of these codes are assigned to the E/M or billed as primary. Task office for additional dx if no other codes are on claim. (Supervison of pregnancy/normal pregnancy dx codes are ok to assign to the ultrasound charge, when performed.)"
726,MCD:GA,NA,Providers must use one of the following ICD-10 diagnosis codes when billing the preventive health visit code: Z00.00 or Z00.01 (Encounter for adult examination).
